comments,cleaned_comments
"KALAU SUDAH BEGINI, KITA HARUS BENAR² SADAR WAHAI RAKYAT, SEJAK KAPAN KITA DI JAJAH ATURAN, APAKAH KITA MASIH MEMILIH PEMIMPIN YANG MENCEKIK RAKYAT, SEMENTARA PERAMPOK UANG NEGARA RINGAN, BAHKAN TIDAK DI SENTUH HUKUM, ASTAGHFIRULLAH",sadar rakyat jajah atur pilih pimpin cekik rakyat rampok uang negara ringan sentuh hukum astaghfirullah
Kuhap tai anjing..,hap tai anjing
"Yo yo yo
Makin kkoh kekuatan dpr dan aparatnya dengn bikin undang2 untuk mensejahterakn anggotnya masing2",kkoh kuat dpr aparat dengn undang mensejahterakn anggotnya
😂😂😂 KUHP yg dibuat2,kuhp
Ya lupa janji 19 juta lapangan kerja mana?,lupa janji juta lapang kerja
Emang presiden kita ini punya kehormatan?,presiden hormat
"UU perampasan aset koruptor kapan di sahkan, semua yang menguntungkan penguasa cepat jadi kalo hukum koruptor seperti mimpi",ampas aset koruptor sahkan untung kuasa cepat hukum koruptor mimpi
Yg ditunggu rakyat seluruh NKRI UU perampasan aset korupsi dan hukuman mati kapan disahkan,tunggu rakyat nkri ampas aset korupsi hukum mati sah
"Aneh,,Harusnya hukum di negara ini itu memakai kata minimal jgn maksimal",anehharusnya hukum negara pakai minimal jgn maksimal
"Pemerintah mementingkan isi perut ny saja,,",perintah penting isi perut
"Menyebarkan Meme, Penjara 5 Tahun. KORUPSI PENJARA BEBERAPA TAHUN. 

WOW!!! SUNGGUH BERAT HISAB KALIAN!!!",sebar meme penjara korupsi penjara wow sungguh berat hisab
KUHP yg bijak sama rakyat jgn memberatkan beban sama rakyat aja kita hdp satu bangsa satu bendera Baek yg miskin maupun yg kaya Baek rakyat maupun pejabat yg SG mlangar atou yg salah yaharuss dihukum,kuhp bijak rakyat jgn berat beban rakyat hdp bangsa bendera baek miskin kaya baek rakyat jabat mlangar atou salah yaharuss hukum
Speechless....😢,speechless
"mau menjarakan rakyat indonesia fix ini "" RAKYAT VS PEMERINTAH""",jara rakyat indonesia fix rakyat perintah
Mengerikan beginian cepat amat sah nya dari segi untuk rakyat tidak terlalu bermanfaat. Padahal hal lain lebih banyak yang lebih urgent untuk rakyat,keri cepat sah segi rakyat manfaat urgent rakyat
harus di nepalkan ini indo,nepalkan indo
harus demo kompak seluruh indo bubarkan dpr,demo kompak indo bubar dpr
pemerintah ngawur tolol DPR goblok,perintah ngawur tolol dpr goblok
Dpr goblok,dpr goblok
menuju era kerajaan,era raja
"Alhamdulillah seneng y jadi orang indonesia walau d dunia hidup d tekan tapi setelah mati dosa kita sudah d tanggung sama pejabat, dr mulau kampanye mereka berjanji akan mensejahtrakan rakyat. Terima kasih aturan y kami insya allah akan masuk surga karna dosa dosa kita sudah ada yg ngambil.",alhamdulillah neng orang indonesia dunia hidup tekan mati dosa tanggung jabat mulau kampanye janji mensejahtrakan rakyat terima kasih atur insya allah masuk surga dosa dosa ngambil
Kalau gitu pasal tentang kebebasan mengemukakan pendapat gimana ya kok rancuuuu 😂,pasal bebas muka dapat gimana rancuuuu
Jangan lupa golput pemilu yg akan datang,lupa golput milu
Kaga jalas kacao presiden kita,kaga jalas kacao presiden
Nggk terlihat baju coklat ya,nggk baju coklat
DPR CUMA HEBAT BIKIN SAMPAH..BUANG2 ANGGARAN NEGARA,dpr hebat sampahbuang anggar negara
"Gawat,pemerintah telah memasang TAMENG...!!!???",gawatpemerintah pasang tameng
ganti presidennya,ganti presiden
"Mantap sya sngat setuju, biar bnyak yg kepanasan..😂😂😂",mantap sya sngat tuju biar bnyak panas
Ini pertanda kalau pemerintah anti kritik,tanda perintah anti kritik
Kesewenang-wenangan.. Demo serentak,kesewenangwenangan demo serentak
Geng telur busuk,geng telur busuk
Dithn 2029 gak usah pilih legeslatif selalu merugikan rakyat,dithn pilih legeslatif rugi rakyat
"Berarti kritik membangun masih di bolehkan.., 
Hanya menghina yang di larang kan? 
Kalau itu saya setuju, karena menghina tidak membangun, agar negara berumur ribuan sampai jutaan tahun kedepannya... 

Untuk pasal pendemo juga oke... Tapi nanti polisi di depan masyarakat sebagai penengah dan menyiapkan demo tanpa anarki, biar posisi lebih aman sebagai anak bangsa juga ... 
Jepang saja demo saya lihat rapi, malahan polisi kawal dengan baik untuk masyarakat atau mahasiswa untuk penyampaian aspirasi... 
Pendapat saya sih...",kritik bangun boleh hina larang tuju hina bangun negara umur ribu juta depan pasal demo oke polisi masyarakat tengah demo anarki biar posisi aman anak bangsa jepang demo lihat rapi polisi kawal masyarakat mahasiswa sampai aspirasi dapat
"Masyarakat tetap akan menghujat dan menghina apabila  kritik tidak didengar,, Lebih baik jangan jadi pejabat kalau tidak mau dikritik, dihina apalagi dihujat.. Dan Masyarakat pasti akan menghina dan menghujat apabila kebijakan yg dibuat merugikan dan tidak pro rakyat.. terlebih lagi kalau kritik tidak didengaar",masyarakat hujat hina kritik dengar jabat kritik hina hujat masyarakat hina hujat bijak rugi pro rakyat kritik didengaar
Pretty,pretty
Ora mutu... 😁😁,ora mutu
lemaga korup,laga korup
Pengesahan undang undang perampasan aset kok gak ada😂😂,kesah undang undang ampas aset
Yg wajib di sahkan adalah UU perampasan aset kalo yg kayak bgini UU pembungkaman aspirasi rakyat namanya,sahkan ampas aset bgini bungkam aspirasi rakyat nama
Perampasan aset kapan di tanda tangan,ampas aset tanda tangan
Ini undang undang buat tameng Mereke,undang undang tameng mereke
Makin kacau ini negara,kacau negara
Gmn dengan koruptor.?,gmn koruptor
"Kalau rakyat salah di penjara, kalau pejabat salah apa lagi koropsi di lindungi , negara apa ini",rakyat salah penjara jabat salah koropsi lindung negara
"Terlalu banyak pasal, jadi banyak masalah😅",pasal
"lalu kalau persiden dan wakilnya tidak bisa bemuat rakyat seja tera, hukumanya apa ya lor",persiden wakil buat rakyat seja tera hukumanya lor
😂😂😂😂 buat korupsi sama perusak alam gak ada hukum nya..,korupsi usak alam hukum
MenJiJikan.. gini amat cara orang yang digaji rakyat kelakuan nya.,jijik gin orang gaji rakyat laku
Bagai mana kalo para pejabat... Melanggar,jabat langgar
"Cukup pak Prabowo satu periode... 
Jangan tambah lagi. 🤯🤯",prabowo periode
perampasan yg rakyat inginkan  malah rakyat di cekik duluan,ampas rakyat rakyat cekik duluan
Gmn mau demokrasinya kalo anti kritik model gini,gmn demokrasi anti kritik model gin
Gas...cocok.,gascocok
"Semakin sempit aja ni, Ruang publik untuk Berdemokrasi, kayaknya pemerintah takut di Nepalkan. UUD Perampasan Aset Koruptor mana Woy, Rakyat sudah muak, sekian lama UUD itu tak kunjung di sahkan.",sempit ruang publik demokrasi kayak perintah takut nepalkan uud ampas aset koruptor woy rakyat muak sekian uud kunjung sahkan
"😂😂😂😂 gendeng... tambahkan gak jelas. wkwk yang wajib itu perampasan aset koruptor, berzina lebih berat hukumannya. gendeng Kabeh. edannn.",gendeng tambah ampas aset koruptor zina berat hukum gendeng kabeh edannn
"Sepertinya UUD perampasan aset sampai kiamatpun tidak akan di sahkan,kalah gercep sama KUHP-KUHAP edisi terbaru hadehhh NKRI 😭😭😭.",uud ampas aset kiamat sahkankalah gercep kuhpkuhap edisi baru hadehhh nkri
"Tidak penting bagi rakyat tp masih penting pengesahan perampasan aset koreptor mana,takut yaaa para maling"" uang rakyat",rakyat kesah ampas aset koreptor manatakut yaaa maling uang rakyat
"Kl saya ningguin berita...pengesahan undang"" 
Hukim mati koruptor dan perampasan aset koruptor....",ningguin beritapengesahan undang hukim mati koruptor ampas aset koruptor
"INI  NEGARA  DEMOKRASI..
UU  ITU  BERLAKU  BUAT  KERAJAAN..",negara demokrasi laku raja
"KALAU  IYA  BENER..
MUNGKIN  RAKYAT  BANYAK  YG  TIDUR  MAKAN  DI  TAHANAN.. /  PENJARA..",iya bener rakyat tidur makan tahan penjara
Nan tilembags dan pemerintah tidaknya SE mena2  uang rakyat buat kekayaan pribadi apakah rakyat Harun diam rakyat trauma dgn perilaku jkw tapi kasus ny ga di tangani secara serius,nan tilembags perintah mena uang rakyat kaya pribadi rakyat harun diam rakyat trauma dgn perilaku jkw tangan serius
"Takut di kritik y,jd ada undang undang nya...jgn jdi pemimpin lah kalau g mau d kritik...",takut kritik yjd undang undang nyajgn jdi pimpin kritik
"ayo rakyat Indonesia bersatu, jangan lagi pilih dpr yang tak berpihak ke rakyat",ayo rakyat indonesia satu pilih dpr pihak rakyat
"Lha......
Pasal hukuman mati bagi para koruptor kok nggak ada
Ini demi kepentingan siapa ya,rakyat atau individu",lha pasal hukum mati koruptor nggak penting yarakyat individu
Pasal perampasan asset koruptor kemana?,pasal ampas asset koruptor mana
"Sama aja KUHAP sewenang-wenang,",hap sewenangwenang
"Kalo tidak ingin direndahkan oleh rakyat,introfeksi diri dong.UU hanya untuk melindungi petinggi negara Konoha.",rendah rakyatintrofeksi donguu lindung petinggi negara konoha
Lengah dikit masuk angin dan bikin pusing kepala 🙃,lengah dikit masuk angin pusing kepala
"Hukum perampasan aset dan hukuman mati koruptor...
Mana ???
Hilang begitu sahaja😊",hukum ampas aset hukum mati koruptor hilang sahaja
apakabar hukuman bagi tersangka korup?,apakabar hukum sangka korup
"Ini isi komentar tim sakit hati, hi bro ketua DPR aja masih kubu PDI lagi susah di sahkan UU perampasan aset korupsi 
Kecuali ketua DPR diganti",isi komentar tim sakit hati ketua dpr kubu pdi susah sahkan ampas aset korupsi kecuali ketua dpr ganti
wah para pembuat konten..  harus hati hati ini😅.. bisa kena pasal,buat konten hati hati kena pasal
Kuhp untuk yang mengibarkan berndera di atas bendera meraputihnya mana. Karnalebih berbahaya buat dpr yang cerdas😂,kuhp kibar berndera bendera meraputihnya karnalebih bahaya dpr cerdas
Keturunannya dari pmrinth sebelumnya😂,turun pmrinth
KEKUASAAN MULAI LAGI MENUNJUKKAN PENERUSNYA,kuasa terus
Kasih uang hbis perkara (kuhp) koruptor kenyang di lembaga pungli berkuasa,kasih uang hbis perkara kuhp koruptor kenyang lembaga pungli kuasa
Lain kali gak usah milih siapapun utk urusan pemerintah. Dia dipilih oleh rakyat namun setelah dapat jabatan jadi membatasi hak rakyat.,milih utk urus perintah pilih rakyat jabat batas hak rakyat
"Gimana jika seorang rakyat biasa mengalami penyerang kehormatan/harkat & martabatnya dimuka umum, contohnya yg sering terjadi kasus di bully, apakah ada tindakan pidananya? Jika ada mohon dijelaskan jika belum mohon dibuatkan KHUP & KUHAP dgn hukuman yg sm pidana 3th / denda nya. 
Agar org yg suka bully bs mikir dua x mau melakukanya.",gimana rakyat alami serang kehormatanharkat martabat muka contoh bully tindak pidana mohon mohon buat khup hap dgn hukum pidana denda org suka bully mikir melakukanya
Gas kan.. harga diri negara pada pemimpin,gas harga negara pimpin
Mirip orde baru,orde
"Undang undang gak jelas rakyat lagi susah.... Sah kan undang undang pejabat korupsi hukum miskin kan, harta di sita negara.. Kan ada pemasukan buat negara buat bayar utang negara.. Begitu josss",undang undang rakyat susah sah undang undang jabat korupsi hukum miskin harta sita negara pasu negara bayar utang negara josss
"Tiada hari kerjanya hanya memikirkan gimana cara menkriminalisasi & menjerat hukum untuk rkyat...
 Entah kapan kerja untuk kemakmuran, kesejahteraan & ekonomi rakyat serta membuka 19jt lapngan  kerja...
#kacau_kacau_kacau...",tiada kerja pikir gimana menkriminalisasi jerat hukum rkyat kerja makmur sejahtera ekonomi rakyat buka lapngan kerja kacaukacaukacau
"Tapi jangan sampai mengkritik dianggap menghina,,,",kritik anggap hina
Kabur aja dulu,kabur
"TRUS UUD PERAMPASAN ASET DAN KORUPTOR ITU BAGAIMANA,,
APAKAH SUDAH DI SAHKAN",trus uud ampas aset koruptor sahkan
UUD ini untuk mengamankan gibran vs roy suryo😂😂,uud aman gibran roy suryo
tidak perlu melihat undang2 karena perangkat negara ini memang babi haram jadah,undang perangkat negara babi haram jadah
"Intinya rakyat di batasi , tidak boleh protes & kritik pemerintah",inti rakyat batas protes kritik perintah
Ga adil tuh .,adil
Nauzubillah min Zalik,nauzubillah zalik
"Menurut saya ni bagus untuk membentuk ahlak masyarakat yg lebih baik dari sekarang tapi ada kurang nya kuat seharus nya bagi pelakor yg merayu untuk istri orang atau anak orang lain untuk melakukan yg hal yang tidak seronok harus di hukum 10 tahun karna mereka lah yg selalu merayu dengan harta, tah tah dan jabatan maka banyak yg jadi korban wanita maka yg lebih berat yg merayu dan pelakor nya trimakasih",bagus bentuk ahlak masyarakat kuat harus pelakor rayu istri orang anak orang seronok hukum rayu harta tah tah jabat korban wanita berat rayu pelakor trimakasih
"Ujuk rasa di pidana ,penjara mana yang muat nampung ujuk rasa yang jumlahnya bisa sampai ratusan ribu 😂😂😂😂😂 .....
UUD koruptor manah ,apa nunggu Allah SWT yang bertidak ?
Rubah lah sebelum kmu di rubah oleh Allah SWT.",ujuk pidana penjara muat nampung ujuk ratus ribu uud koruptor manah nunggu allah swt tidak rubah kmu rubah allah swt
Uud hukum mati korupsi napa blm sah juga yq😢,uud hukum mati korupsi napa blm sah
KUHP PERAMPASAN ASET KORUPTOR MANA....??!!!,kuhp ampas aset koruptor
Mbelgedes,mbelgedes
Rusaklah negeri ini dg bunyi pasal ini...,rusak negeri bunyi pasal
Satu kata REVOLUSI RAKYAT ✊✊✊,revolusi rakyat
Harus nya lbh berat sebsb sangat meresahkan para pembenci yg gak beradab setuju NKRI tetap satu nusa satu bangsa.,lbh berat sebsb resah benci adab tuju nkri nusa bangsa
DPR sekarang Emang ZTIDAK MEWAKILI RAKYAT..,dpr ztidak wakil rakyat
"Woww ini JELAS2 KUHP KUHAP buat melindungi pejabat bobrok ... Bukan UU di buat untuk Rakyat kbnykan.. 
Detailnya Masy akan di BUNGKAM, Menjerat siapapun yg  menyuarakan kritik Kpda pejabat dan Lembaga pemetintah",woww kuhp hap lindung jabat bobrok rakyat kbnykan detail masy bungkam jerat suara kritik kpda jabat lembaga tin
Jir ngk bisa lagi buly fufufafa😅,jir ngk buly fufufafa
"Nauzubilahhiminzalik ya Allah, kita tdk boleh bersuara 💔",nauzubilahhiminzalik allah tdk suara
"Kalau ga di revisi, Nepal kan yu",revisi nepal
Padahal saya sangat berharap hukuman mati buat koruptor dan perampasan aset2 nya.. Karena mereka ibarat virus mematikan negeri ini..,harap hukum mati koruptor ampas aset virus mati negeri
"KUHP, KUHAP penjarakan fufufafa dan adili Jokowi berijazah palsu dan kasus nikel raja Ampat, KA cepat, IKN, pagar laut, pembalakan liar di Sumatera, Bandara morowali",kuhp hap penjara fufufafa adil jokowi ijazah palsu nikel raja ampat cepat ikn pagar laut bala liar sumatera bandara morowali
Buat hukuman kok  semua rakyat disuruh diam rakyat di bungkam  apa negara mau mengurusi rakya sepenuhnya kalau negara indonesia diinjak injak oleh negara asing rakyat suruh diam,hukum rakyat suruh diam rakyat bungkam negara urus rakya sepenuh negara indonesia injak injak negara asing rakyat suruh diam
"SETELAH SI TUKANG TIPU LENGSER,TIMBUL LAH SI OMON-OMON BERAK SEKEBON",tukang tipu lengsertimbul omonomon berak kebon
"Enak zaman pak jokowi dong❤😊, selamat datang kembali zaman orba.",enak zaman jokowi selamat zaman orba
Bodoh amat kalo korup hartanya di sita dan dihukum mati mati mati mati keluarga di asingkan,bodoh korup harta sita hukum mati mati mati mati keluarga asing
Manusia di muka bumi takut pada pemerintah sekarang dengan aturan yg makin banyak. Melebihi kuasa tuhan 😂,manusia muka bumi takut perintah atur lebih kuasa tuhan
"Makin ancur aja ini....

Kpla ku sdh pusing 7 keliling",ancur kpla sdh pusing keliling
rakyat masih diam,rakyat diam
Jadi pejabat aja semua .jangan ada masyarakat lagi.,jabat masyarakat
"Udah anggap aja angin lewat, gk usah didengar, dpr bales dendam Sahroni cs balik lg ke dpr😂",anggap angin dengar dpr bales dendam sahroni dpr
itu pilihan 58,pilih
"Yg rakyat harapkan adalah UU perampasan aset koruptor bkn UU ,seperti itu,,",rakyat harap ampas aset koruptor bkn
"juru awal ya. 

yg kemaren demo kagak ada d acc",juru kemaren demo kagak acc
Negara ini gk bakalan maju sebelum dinepalkan mereka mengubah sesuka hati mereka sedangkan undang2 yg diharapkan oleh rakyat tidak pernah disahakan sampai kapan negri ini seperti ini,negara maju dinepalkan ubah suka hati undang harap rakyat disahakan negri
"Waah…penjara bakal membludak dong, hampir setiap HP cuitannya hujatan thd pejabat negara😭",waahpenjara membludak cuit hujat thd jabat negara
"Demo besar besaran LG kayaknya,,,DPR sengaja UU perampasan aset GK di sahkan,,,jgn ngu rakyat marah,,,BS pecah belah negara ini",demo besar kayaknyadpr sengaja ampas aset sahkanjgn ngu rakyat marahbs pecah belah negara
"KORUPTOR TETAP AMAN!
HUKUM HANYA BUAT RAKYAT INILAH REPUBLIK KONTOL ANJING!",koruptor aman hukum rakyat republik kontol anjing
"MANA UNDANG-UNDANG UNTUK KORUPTOR?????.....
UU semua hny untuk RAKYAT,Sungguh Ironis Negri ini..!!!",undangundang koruptor hny rakyatsungguh ironis negri
"KLO RUU PERAMPASAN ASET KORUPTOR DI 🇲🇨 DI SAH KAN, BAKAL KIAMAT ATAU PERANG DUNIA KE 3",klo ruu ampas aset koruptor sah kiamat perang dunia
"🤣🤣🤣🤣🤣 ,, lucu yaahh",lucu yaahh
Kenapa bukan roy soryo yg di solasi mulutnya...,roy soryo solasi mulut
Alhamdulillah perampasan aset juga sudah di sahkan..,alhamdulillah ampas aset sahkan
"Pemerintah aneh 😡😡😡, Kenapa bukan perampasan aset yg di sahkan",perintah aneh ampas aset sahkan
Kalau koruptor hukumannya apa pak yang mencuri uwang negara sampai besar nya 300t apa 6/7 tahun pak,koruptor hukum curi uwang negara
Trus *UU PERAMPASAN ASET* kapan disahkan ??,trus ampas aset sah
"Jangan kritik ,menghina, nanti masuk bui",kritik hina masuk bui
Apa penjara muat klu semua mahasiswa dan rakyat unjuk rasa,penjara muat klu mahasiswa rakyat unjuk
"Lak klu pejabat yg mnyengsarakn  rakyt, para koruptor.. Undang"" Ku hpnya yg barunya mna, ya,.. Biar di hukum gantung, atau hkum mti",lak klu jabat mnyengsarakn rakyt koruptor undang hpnya baru mna biar hukum gantung hkum mti
Ngawor cok,ngawor cok
"Makan tuh,,, undang -undang buat bacot asal bunyi seperti roky gerung,,",makan undang undang bacot bunyi roky gerung
"Hihihi demokrasi dibuat sekarat, rakyat pemilik negri dibungkam",hihihi demokrasi sekarat rakyat milik negri bungkam
Penguasa penipu semua!,kuasa tipu
Indonesia bubar aja! anjirrrrrrrr,indonesia bubar anjirrrrrrrr
Podo salah milih pemimpin yo nikmati aja 😅,podo salah milih pimpin nikmat
"Woy lah perampasan aset bagi koruptor kapan di sah kan, lama banget Yaallah",woy ampas aset koruptor sah yaallah
OK gasss 😂😂😂,gasss
